epoch,model_name,kl1,kl2,loss_rec,loss_cor,spec_total_loss,psnr,total_smoothness_loss,total_freq_weighted_loss,before_z1,before_z2,after_z1,after_z2
1,ResBasedVAE,0.0,0.0,4.6995788579806685e-05,-0.0007173700723797083,0.0006645195535384119,0.6365053653717041,3.2105439458973706e-05,0.00014942193229217082,10,10,3,3
2,ResBasedVAE,0.0,0.0,7.097345951478928e-05,-0.003827330656349659,0.0009742460097186267,0.6197729110717773,0.0001488494744990021,0.00022141500085126609,10,10,3,3
3,ResBasedVAE,0.0,0.0,8.370674913749099e-05,-0.0022548469714820385,0.0010691819479689002,0.6130753755569458,0.00017202290473505855,0.00022504811931867152,10,10,3,3
4,ResBasedVAE,0.0,0.0,7.82708521001041e-05,-0.0037435765843838453,0.0010020086774602532,0.6158005595207214,0.0001260040735360235,0.00021912602824158967,10,10,3,3
5,ResBasedVAE,0.0,0.0,6.018365456839092e-05,-0.004457089584320784,0.0008646016358397901,0.6264661550521851,0.0001079724170267582,0.00019496593449730426,10,10,3,3
6,ResBasedVAE,0.0,0.0,8.262469054898247e-05,-0.0018114740960299969,0.0010515517788007855,0.6136034727096558,4.32974447903689e-05,0.00024294204195030034,10,10,3,3
7,ResBasedVAE,0.0,0.0,8.043461275519803e-05,-0.003432135097682476,0.0010331239318475127,0.614693820476532,9.904913167702034e-05,0.00024173872952815145,10,10,3,3
8,ResBasedVAE,0.0,0.0,6.718137592542917e-05,-0.0035779832396656275,0.0008995450334623456,0.6220016479492188,1.1495479157019872e-05,0.0002020049432758242,10,10,3,3
9,ResBasedVAE,0.0,0.0,8.584179886383936e-05,-0.0035114872734993696,0.0010401509935036302,0.6120530366897583,2.1662597646354698e-05,0.0002407924475846812,10,10,3,3
